Booking_id,booking_Date,Customer_ID,State,City,Occupation,purpose_of_trip,Destination_place,Hotel_name,Mode_of_transport,Age,Marital_Status,trip_type,days_of_stay,Amount_Spent,booking_channel,Payment_method,repeated_customer,Trip_Score,Destination_Score,Total_Satisfication_Score
2390,12-11-2020,20,Andhra Pradesh,Repalle,IT,Business,Shimla, The Leela Kovalam                  ,Bus,28,Married,one-way,0,6100,meta search,Cash,yes,3,9,6.0
1024,14-11-2020,21,Andhra Pradesh,Anantapur,Finance,Business,Amritsar, Mayfair Spa Resort & Casino        ,Ship,55,Married,Round-trip,3,9600,website,Credit_card,yes,4,10,7.0
1059,22-01-2023,20,Andhra Pradesh,Ongole,IT,Leisure,Goa, The Lalit Temple View Khajuraho    ,Bus,28,Married,Multi-city,11,34700,mobile,Credit_card,yes,8,10,9.0
2340,10-11-2021,23,Andhra Pradesh,Tadepalligudem,IT,Leisure,Coorg, The Naini Retreat                  ,Aeroplane,25,Married,Round-trip,5,18100,mobile,Cash,yes,9,6,7.5
1126,27-07-2020,24,Andhra Pradesh,Nellore,IT,Business,Goa, Taj Swarna                         ,Ship,20,Unmarried,Round-trip,3,7500,meta search,Cash,yes,7,9,8.0
1821,29-05-2020,914,Andhra Pradesh,Tadipatri,Students,Education,Mysore, Brunton Boatyard                    ,Aeroplane,17,Unmarried,Multi-city,7,15900,meta search,Cash,yes,6,10,8.0
2970,25-03-2021,400,Andhra Pradesh,Guntur,Government-sector,Business,Srinagar, Royal Orchid Metropole             ,Aeroplane,38,Unmarried,Round-trip,5,19600,website,Credit_card,yes,10,8,9.0
1159,09-09-2022,27,Andhra Pradesh,Bapatla,IT,Leisure,Goa, Ananta Spa & Resort                ,Ship,30,Married,Round-trip,5,12300,website,Debit_card,yes,8,8,8.0
2971,28-07-2021,28,Andhra Pradesh,Palakollu,Finance,Leisure,Madurai, Kumarakom Lake Resort              ,Aeroplane,37,Married,Round-trip,2,8800,website,Credit_card,yes,7,9,8.0
2298,09-12-2021,29,Andhra Pradesh,Proddatur,Finance,Leisure,Madurai, RAAS Jodhpur                       ,Ship,51,Unmarried,Multi-city,12,23500,meta search,Debit_card,yes,8,10,9.0
1677,09-09-2021,30,Andhra Pradesh,Dharmavaram,IT,Leisure,Goa, Punnamada Resort                   ,Ship,28,Unmarried,Round-trip,3,14300,travel agent,Cash,yes,6,6,6.0
2477,31-12-2022,882,Andhra Pradesh,Anantapur,Finance,Business,Varanasi, Mayfair Puri                       ,Ship,50,Unmarried,Round-trip,5,17400,mobile,Cash,yes,10,8,9.0
2724,20-09-2022,24,Andhra Pradesh,Srikakulam,IT,Leisure,Coorg, The Gateway Hotel Pasumalai        ,Bus,20,Unmarried,Round-trip,2,9800,website,Debit_card,yes,9,10,9.5
2748,21-07-2022,30,Andhra Pradesh,Yemmiganur,IT,Leisure,Ooty, The Gopinivas Grand                ,Bus,28,Unmarried,Multi-city,8,18900,mobile,Debit_card,yes,9,10,9.5
2300,20-03-2021,34,Andhra Pradesh,Eluru,Arts,Education,Mysore, Blue Sea Beach Resort              ,Ship,28,Unmarried,Round-trip,5,19400,meta search,Debit_card,yes,8,6,7.0
2592,16-11-2020,35,Andhra Pradesh,Tuni,Arts,Leisure,Mahabalipuram, The Carlton                        ,Ship,27,Married,one-way,0,6200,travel agent,Cash,yes,4,10,7.0
1994,01-12-2020,36,Andhra Pradesh,Kakinada,Government-sector,Business,Srinagar, Gateway Varkala                    ,Aeroplane,43,Married,Multi-city,15,27300,travel agent,Credit_card,yes,8,9,8.5
1604,24-07-2020,37,Andhra Pradesh,Gudivada,IT,Leisure,Ooty, Kurumba Village Resort             ,Ship,30,Unmarried,Round-trip,3,9800,mobile,Cash,yes,9,10,9.5
1516,28-02-2023,38,Andhra Pradesh,Dharmavaram,IT,Leisure,Shimla, The World Backwaters               ,Ship,20,Married,one-way,0,7500,travel agent,Debit_card,yes,4,9,6.5
1673,15-12-2022,4,Andhra Pradesh,Nandyal,Finance,Business,Amritsar, Desert Tulip Hotel & Resort        ,Ship,46,Unmarried,Round-trip,5,16500,mobile,Cash,yes,3,7,5.0
2972,01-02-2022,40,Andhra Pradesh,Dharmavaram,Students,Education,Cochin, Cama Rajputana Club Resort         ,Ship,13,Unmarried,Round-trip,4,17900,meta search,Credit_card,yes,8,6,7.0
2904,04-12-2021,41,Andhra Pradesh,Vijayawada,IT,Leisure,Ooty, The Gateway Resort Pushkar Bypass  ,Ship,29,Unmarried,Multi-city,13,41500,mobile,Credit_card,yes,9,6,7.5
2463,21-12-2020,42,Andhra Pradesh,Madanapalle,Students,Education,Cochin, Ravine Hotel                       ,Aeroplane,19,Unmarried,one-way,0,9500,travel agent,Cash,yes,10,2,6.0
2412,10-08-2021,43,Andhra Pradesh,Guntur,IT,Leisure,Shimla, The Serai Chikmagalur             ,Ship,22,Unmarried,Multi-city,8,19400,meta search,Debit_card,yes,3,10,6.5
1644,05-09-2020,44,Andhra Pradesh,Chirala,Arts,Leisure,Mysore," ITC Mughal, a Luxury Collection Hotel ",Aeroplane,30,Unmarried,Round-trip,4,17400,meta search,Cash,yes,8,8,8.0
1242,02-03-2023,45,Andhra Pradesh,Gudivada,IT,Leisure,Coorg, Taj Falaknuma Palace               ,Aeroplane,26,Unmarried,one-way,0,10000,travel agent,Credit_card,yes,9,2,5.5
1422,12-02-2022,46,Andhra Pradesh,Hindupur,Finance,Business,Amritsar, Hilton Shillim Estate Retreat & Spa ,Bus,33,Unmarried,Multi-city,12,24200,mobile,Debit_card,no,4,9,6.5
2511,01-02-2023,38,Andhra Pradesh,Renigunta,IT,Leisure,Coorg, Aloha On The Ganges                ,Aeroplane,20,Married,Round-trip,4,12800,mobile,Credit_card,yes,10,6,8.0
2726,01-08-2021,48,Andhra Pradesh,Tadepalligudem,Finance,Business,Madurai, Ganga Kinare                       ,Ship,36,Married,Round-trip,2,11100,travel agent,Debit_card,yes,6,10,8.0
2574,31-07-2020,804,Andhra Pradesh,Bapatla,Finance,Leisure,Madurai, Taj Hari Mahal                     ,Bus,61,Married,Round-trip,4,18000,mobile,Cash,yes,8,8,8.0
2495,03-10-2020,50,Andhra Pradesh,Hindupur,IT,Business,Goa, Fairmont Jaipur                    ,Bus,24,Married,Multi-city,7,18700,mobile,Credit_card,yes,8,9,8.5
1484,22-01-2023,51,Andhra Pradesh,Bapatla,Arts,Leisure,Agra, Ri Kynjai                         ,Ship,24,Married,Round-trip,3,12800,website,Cash,yes,4,7,5.5
1072,15-08-2022,812,Andhra Pradesh,Chittoor,Government-sector,Business,Varanasi, The Oberoi Cecil                  ,Bus,43,Unmarried,one-way,0,8800,meta search,Debit_card,yes,8,6,7.0
1611,15-08-2021,53,Andhra Pradesh,Tirupati,Arts,Leisure,Agra, The Oberoi Grand                  ,Ship,26,Married,one-way,0,9100,mobile,Debit_card,yes,5,5,5.0
1015,24-11-2020,711,Andhra Pradesh,Jaggayyapeta,Government-sector,Business,Amritsar, Radisson Blu Resort & Spa Alibaug  ,Ship,59,Married,Round-trip,4,12700,mobile,Cash,yes,3,6,4.5
1639,05-06-2021,55,Andhra Pradesh,Sullurpeta,Finance,Business,Amritsar, Swaswara                          ,Aeroplane,41,Married,Round-trip,3,10300,mobile,Cash,yes,4,9,6.5
1363,05-05-2020,938,Andhra Pradesh,Chilakaluripet,Arts,Leisure,Mysore, The Gateway Hotel Church Road     ,Bus,25,Unmarried,Round-trip,2,11700,website,Credit_card,yes,6,9,7.5
1660,14-10-2020,1,Andhra Pradesh,Guntur,IT,Leisure,Coorg, Chariot Beach Resort               ,Aeroplane,21,Married,one-way,0,5200,travel agent,Cash,yes,9,9,9.0
1464,28-05-2020,23,Andhra Pradesh,Guntur,IT,Business,Coorg, The Tamara Kodai                  ,Aeroplane,25,Married,one-way,0,5900,travel agent,Credit_card,yes,8,9,8.5
1992,11-11-2021,50,Andhra Pradesh,Chittoor,IT,Business,Ooty, Vivanta Trivandrum                 ,Aeroplane,24,Married,Round-trip,5,15800,meta search,Credit_card,yes,10,8,9.0
1653,11-05-2020,43,Andhra Pradesh,Chilakaluripet,IT,Business,Coorg, Vythiri Village                    ,Ship,22,Unmarried,Multi-city,8,14300,mobile,Credit_card,yes,9,10,9.5
2277,15-11-2021,23,Andhra Pradesh,Renigunta,IT,Leisure,Coorg, Chandys Windy Woods               ,Ship,25,Married,Round-trip,3,15000,travel agent,Credit_card,yes,10,7,8.5
2879,06-08-2022,62,Andhra Pradesh,Palakollu,IT,Leisure,Coorg, Taj Wellington Mews Luxury Residences ,Ship,27,Married,Multi-city,14,42400,meta search,Debit_card,yes,9,8,8.5
2037,25-11-2021,63,Andhra Pradesh,Sullurpeta,Government-sector,Leisure,Srinagar, Vivanta Sawai Madhopur Lodge      ,Aeroplane,44,Married,Round-trip,5,14100,mobile,Debit_card,yes,10,7,8.5
2428,11-07-2021,24,Andhra Pradesh,Tenkasi,IT,Leisure,Coorg, Citrus Retreats Alleppey          ,Aeroplane,20,Unmarried,one-way,0,7900,travel agent,Cash,yes,8,10,9.0
1326,01-06-2022,65,Andhra Pradesh,Renigunta,IT,Leisure,Coorg, Cedar Inn                         ,Ship,22,Married,Multi-city,15,40900,travel agent,Credit_card,yes,8,6,7.0
1578,13-11-2022,66,Andhra Pradesh,Nuzvid,Finance,Leisure,Madurai, The Gulaal                       ,Ship,54,Married,Round-trip,2,10600,travel agent,Cash,yes,7,9,8.0
1472,19-05-2023,27,Andhra Pradesh,Narasaraopet,IT,Leisure,Coorg, Trident Agra                     ,Ship,30,Married,Round-trip,5,14100,travel agent,Cash,yes,9,6,7.5
1640,10-06-2022,711,Andhra Pradesh,Kovvur,Government-sector,Business,Amritsar, The Leela Palace Udaipur         ,Ship,59,Married,Multi-city,14,40900,mobile,Debit_card,yes,4,8,6.0
2006,05-09-2021,38,Andhra Pradesh,Kurnool,IT,Leisure,Ooty, Brijrama Palace                  ,Aeroplane,20,Married,one-way,0,7500,mobile,Debit_card,yes,8,10,9.0
1023,31-07-2021,837,Andhra Pradesh,Chittoor,Arts,Leisure,Mahabalipuram, Radisson Blu Hotel Amritsar      ,Aeroplane,24,Unmarried,one-way,0,10000,meta search,Credit_card,yes,4,3,3.5
1401,09-07-2021,982,Andhra Pradesh,Peddapuram,Government-sector,Leisure,Varanasi, The Lalit Grand Palace Srinagar  ,Bus,54,Married,Round-trip,4,10000,mobile,Credit_card,yes,9,10,9.5
1502,15-11-2020,72,Andhra Pradesh,Pithapuram,IT,Leisure,Goa, Vivanta by Taj - Green Cove      ,Ship,21,Unmarried,Round-trip,4,15500,website,Credit_card,yes,8,6,7.0
1462,01-11-2021,73,Andhra Pradesh,Kakinada,IT,Leisure,Goa, Clarks Inn Hampi                 ,Bus,27,Unmarried,one-way,0,9100,travel agent,Cash,yes,7,3,5.0
2860,28-05-2022,982,Andhra Pradesh,Ponnur,Government-sector,Leisure,Amritsar," Orange County, Coorg             ",Bus,54,Married,one-way,0,5100,travel agent,Debit_card,yes,5,9,7.0
2260,20-10-2022,75,Andhra Pradesh,Yemmiganur,Government-sector,Leisure,Amritsar, Grand Mercure Mysuru             ,Bus,42,Married,one-way,0,6600,website,Credit_card,yes,5,9,7.0
2699,27-11-2020,76,Andhra Pradesh,Repalle,Government-sector,Business,Varanasi, Taj Umaid Bhawan Palace          ,Bus,63,Married,Round-trip,4,12900,travel agent,Cash,yes,10,8,9.0
2528,15-09-2022,77,Andhra Pradesh,Nellore,Government-sector,Leisure,Amritsar, Trident Jaipur                   ,Ship,62,Married,one-way,0,8800,travel agent,Credit_card,yes,3,6,4.5
1302,15-01-2021,38,Andhra Pradesh,Bapatla,IT,Business,Goa, Alleppey Beach Resorts           ,Ship,20,Married,Round-trip,4,17000,meta search,Debit_card,yes,8,7,7.5
1744,31-08-2022,79,Andhra Pradesh,Rayachoti,IT,Business,Shimla, Kochi Marriott Hotel             ,Aeroplane,25,Unmarried,Round-trip,5,15100,mobile,Credit_card,yes,4,7,5.5
2155,30-09-2021,43,Andhra Pradesh,Visakhapatnam,IT,Leisure,Goa, Toshali Sands                    ,Ship,22,Unmarried,Round-trip,4,19000,mobile,Cash,yes,6,7,6.5
2032,15-02-2021,81,Andhra Pradesh,Tirupati,Government-sector,Leisure,Amritsar, The Seashore Hotel               ,Bus,59,Unmarried,one-way,0,5800,mobile,Debit_card,yes,3,9,6.0
1071,24-12-2022,55,Andhra Pradesh,Amalapuram,Finance,Leisure,Madurai, Sterling Ooty Elk Hill           ,Aeroplane,41,Married,Round-trip,5,12100,mobile,Debit_card,yes,6,8,7.0
1941,19-05-2023,1,Andhra Pradesh,Sullurpeta,IT,Leisure,Ooty, Hotel Ganesha Inn                ,Bus,21,Married,one-way,0,8300,mobile,Debit_card,yes,8,7,7.5
1503,02-12-2022,79,Andhra Pradesh,Renigunta,IT,Business,Shimla, Acron Waterfront Resort          ,Bus,25,Unmarried,Round-trip,3,12300,mobile,Debit_card,yes,3,7,5.0
1520,13-08-2021,45,Andhra Pradesh,Narasapuram,IT,Leisure,Coorg, Hotel Ishan                     ,Aeroplane,26,Unmarried,Multi-city,9,13000,website,Cash,yes,8,10,9.0
2362,20-06-2021,50,Andhra Pradesh,Palakollu,IT,Business,Shimla, Samode Palace                    ,Aeroplane,24,Married,Round-trip,4,17200,travel agent,Credit_card,yes,3,8,5.5
1619,25-04-2022,982,Andhra Pradesh,Palakollu,Government-sector,Business,Varanasi, Tea Valley Resort                ,Bus,54,Married,Round-trip,4,18300,mobile,Cash,yes,10,8,9.0
1102,28-01-2023,88,Andhra Pradesh,Renigunta,Finance,Business,Madurai, Manuallaya Resorts & Spa         ,Bus,55,Unmarried,Round-trip,4,15200,travel agent,Credit_card,yes,7,6,6.5
1468,29-08-2022,973,Andhra Pradesh,Chirala,Government-sector,Leisure,Srinagar, Courtyard by Marriott Agra       ,Bus,39,Married,Round-trip,5,18200,meta search,Cash,yes,6,7,6.5
1709,28-11-2021,90,Andhra Pradesh,Tadipatri,Students,Education,Cochin, Clarkes Hotel                    ,Ship,11,Unmarried,Multi-city,10,29900,mobile,Cash,yes,9,10,9.5
2552,14-10-2020,14,Andhra Pradesh,Chilakaluripet,IT,Leisure,Shimla, Jaisalmer Marriott Resort & Spa  ,Bus,29,Married,Multi-city,6,13900,travel agent,Cash,yes,5,9,7.0
1433,19-11-2022,92,Andhra Pradesh,Nuzvid,Government-sector,Leisure,Varanasi, Fateh Prakash Palace             ,Bus,52,Married,Round-trip,5,14400,meta search,Debit_card,yes,10,6,8.0
1444,20-04-2022,885,Andhra Pradesh,Chirala,Government-sector,Business,Srinagar, Hyatt Amritsar                  ,Ship,46,Married,Round-trip,3,14200,website,Cash,yes,8,7,7.5
1484,22-08-2020,969,Andhra Pradesh,Kovvur,Finance,Leisure,Amritsar, Hotel Omasila                   ,Aeroplane,39,Married,Multi-city,8,13800,travel agent,Debit_card,yes,3,10,6.5
1593,03-11-2020,944,Andhra Pradesh,Machilipatnam,Government-sector,Leisure,Srinagar, Le Pondy                        ,Bus,61,Married,Multi-city,11,30400,mobile,Cash,yes,8,9,8.5
2033,29-07-2021,96,Andhra Pradesh,Sullurpeta,Students,Education,Cochin, Riverine Resort                 ,Ship,18,Unmarried,Round-trip,4,12100,meta search,Cash,yes,8,8,8.0
2264,26-05-2020,97,Andhra Pradesh,Srikakulam,Finance,Business,Madurai, Hotel Viceroy                   ,Bus,31,Married,Round-trip,2,9200,mobile,Credit_card,no,8,9,8.5
1383,01-12-2021,98,Andhra Pradesh,Rayachoti,Students,Education,Cochin, Taj Fort Aguada Resort & Spa    ,Bus,15,Unmarried,Round-trip,2,15000,travel agent,Credit_card,yes,8,7,7.5
1435,09-02-2022,38,Andhra Pradesh,Nandyal,IT,Business,Coorg, Oberoi Cecil                    ,Ship,20,Married,Multi-city,7,17200,website,Credit_card,yes,9,10,9.5
1829,05-06-2021,30,Andhra Pradesh,Anantapur,IT,Leisure,Goa, Suryagarh                       ,Bus,28,Unmarried,one-way,0,8800,meta search,Credit_card,yes,7,8,7.5
1101,28-04-2022,11,Andhra Pradesh,Chilakaluripet,IT,Leisure,Goa, Oberoi Udaivilas                ,Ship,23,Married,Round-trip,4,17200,mobile,Cash,yes,6,7,6.5
2730,03-05-2021,102,Andhra Pradesh,Narasapuram,Finance,Leisure,Varanasi, Oberoi Amarvilas                ,Ship,58,Unmarried,Round-trip,5,10500,meta search,Debit_card,no,8,10,9.0
1433,29-03-2021,43,Andhra Pradesh,Bheemunipatnam.,IT,Business,Ooty, Taj Nadesar Palace              ,Aeroplane,22,Unmarried,Round-trip,3,12200,travel agent,Debit_card,yes,8,6,7.0
1815,20-06-2021,804,Andhra Pradesh,Machilipatnam,Finance,Leisure,Madurai, Windermere Estate               ,Aeroplane,61,Married,Round-trip,5,10600,website,Credit_card,yes,7,9,8.0
1011,23-09-2021,105,Andhra Pradesh,Nellore,Arts,Leisure,Mahabalipuram, Ananda in the Himalayas         ,Aeroplane,22,Unmarried,Multi-city,11,21500,meta search,Credit_card,yes,3,10,6.5
2092,06-05-2020,73,Andhra Pradesh,Gudur,IT,Leisure,Coorg, Savoy - IHCL SeleQtions         ,Bus,27,Unmarried,one-way,0,5000,website,Debit_card,yes,10,9,9.5
2513,01-04-2021,40,Andhra Pradesh,Bhimavaram,Students,Education,Kanyakumari, Mayfair Darjeeling              ,Aeroplane,13,Unmarried,Round-trip,3,11100,travel agent,Debit_card,yes,6,9,7.5
1032,18-12-2022,77,Andhra Pradesh,Renigunta,Government-sector,Leisure,Srinagar, Gorbandh Palace                 ,Aeroplane,62,Married,one-way,0,8800,website,Cash,yes,8,8,8.0
1802,10-08-2020,38,Andhra Pradesh,Guntur,IT,Leisure,Ooty, Deshadan Backwater Resort       ,Ship,20,Married,one-way,0,6800,travel agent,Credit_card,yes,10,10,10.0
2985,25-08-2022,41,Andhra Pradesh,Bapatla,IT,Leisure,Ooty, Solang Valley Resort            ,Ship,29,Unmarried,Round-trip,4,13600,travel agent,Cash,yes,8,7,7.5
1497,01-07-2022,72,Andhra Pradesh,Kavali,IT,Leisure,Shimla, The Promenade                   ,Aeroplane,21,Unmarried,Round-trip,4,18000,website,Cash,yes,3,8,5.5
1267,26-06-2022,62,Andhra Pradesh,Renigunta,IT,Leisure,Ooty, Hotel Grand Himalaya            ,Bus,27,Married,Round-trip,5,16300,mobile,Credit_card,yes,9,6,7.5
1182,26-02-2023,113,Andhra Pradesh,Tenali,Arts,Leisure,Agra, Dewa Retreat                   ,Aeroplane,20,Married,Round-trip,5,18900,website,Credit_card,yes,5,6,5.5
1089,26-07-2021,114,Andhra Pradesh,Vijayawada,Government-sector,Leisure,Varanasi," Vivanta Goa,",Aeroplane,47,Unmarried,one-way,0,7100,travel agent,Credit_card,no,10,10,10.0
2551,18-09-2022,878,Andhra Pradesh,Gudivada,Finance,Leisure,Varanasi, Shahpura House                  ,Aeroplane,43,Married,Round-trip,2,13600,mobile,Cash,yes,10,6,8.0
1437,16-08-2020,711,Andhra Pradesh,Anantapur,Government-sector,Leisure,Amritsar, RAAS Devigarh                   ,Aeroplane,59,Married,Multi-city,7,20100,meta search,Credit_card,yes,4,9,6.5
1984,13-01-2021,117,Andhra Pradesh,Narasapuram,Government-sector,Leisure,Varanasi," ITC Mughal, a Luxury Collection Hotel ",Aeroplane,51,Married,Multi-city,14,43800,travel agent,Debit_card,yes,10,4,7.0
2663,25-01-2023,72,Andhra Pradesh,Guntur,IT,Leisure,Shimla, Nadesar Palace                  ,Bus,21,Unmarried,Round-trip,4,13200,website,Credit_card,yes,4,8,6.0
2506,16-08-2020,119,Andhra Pradesh,Ponnur,Government-sector,Leisure,Amritsar, Elixir Hills Suites Resort & Spa ,Bus,34,Married,Round-trip,3,14000,meta search,Cash,no,3,7,5.0
1703,18-05-2022,55,Andhra Pradesh,Kavali,Finance,Leisure,Madurai, Sherlock                        ,Bus,41,Married,Multi-city,6,12900,mobile,Debit_card,yes,6,10,8.0
2996,30-07-2021,121,Andhra Pradesh,Kakinada,Government-sector,Business,Varanasi, Windamere Hotel                ,Aeroplane,47,Married,one-way,0,9600,mobile,Cash,yes,10,5,7.5
1152,30-12-2021,77,Andhra Pradesh,Visakhapatnam,Government-sector,Leisure,Amritsar, Desert Springs Resort          ,Bus,62,Married,Multi-city,15,26900,travel agent,Cash,yes,3,9,6.0
1434,16-01-2021,30,Andhra Pradesh,Bapatla,IT,Leisure,Shimla, Lake Palace Resort             ,Bus,28,Unmarried,Multi-city,7,18900,mobile,Cash,yes,3,10,6.5
1962,18-09-2022,73,Andhra Pradesh,Chittoor,IT,Leisure,Goa, Apple Country Resort           ,Bus,27,Unmarried,one-way,0,6700,mobile,Cash,yes,8,9,8.5
2443,21-07-2022,73,Andhra Pradesh,Amalapuram,IT,Leisure,Goa, Le Dupleix                     ,Bus,27,Unmarried,one-way,0,9200,travel agent,Debit_card,yes,6,4,5.0
2563,13-07-2021,1000,Andhra Pradesh,Kovvur,Students,Education,Cochin, Hotel Royal Palace             ,Aeroplane,12,Unmarried,Multi-city,12,33100,website,Cash,yes,10,9,9.5
1937,19-01-2021,127,Andhra Pradesh,Proddatur,Government-sector,Leisure,Srinagar, Hotel Ganesha Inn              ,Bus,49,Married,Round-trip,5,13600,travel agent,Debit_card,yes,10,7,8.5
1016,17-04-2021,128,Andhra Pradesh,Ponnur,Government-sector,Leisure,Amritsar, The Lalit Golf & Spa Resort   ,Ship,48,Married,one-way,0,5300,travel agent,Credit_card,yes,5,10,7.5
1187,23-05-2023,30,Andhra Pradesh,Bheemunipatnam.,IT,Business,Goa, East Bourne Resort & Spa      ,Bus,28,Unmarried,Round-trip,2,9200,mobile,Cash,yes,6,9,7.5
2388,21-03-2023,130,Andhra Pradesh,Kovvur,Finance,Leisure,Madurai, Hotel Priya                    ,Aeroplane,37,Unmarried,Round-trip,3,14000,mobile,Credit_card,yes,6,6,6.0
2764,10-06-2022,131,Andhra Pradesh,Nellore,Students,Education,Mysore, Taj Lake Palace                ,Aeroplane,8,Unmarried,Round-trip,5,14700,travel agent,Cash,yes,6,6,6.0
1281,22-09-2021,14,Andhra Pradesh,Gudur,IT,Leisure,Goa, Radisson Blu Agra Taj East Gate ,Ship,29,Married,Round-trip,2,10700,website,Debit_card,yes,6,9,7.5
1020,28-04-2023,62,Andhra Pradesh,Kavali,IT,Leisure,Goa, Brijrama Palace                ,Ship,27,Married,Multi-city,11,25700,mobile,Credit_card,yes,6,10,8.0
2750,28-09-2021,79,Andhra Pradesh,Eluru,IT,Leisure,Shimla, The Fog Resort & Spa           ,Ship,25,Unmarried,Round-trip,5,18200,travel agent,Credit_card,yes,4,8,6.0
1615,13-11-2022,135,Andhra Pradesh,Repalle,Arts,Leisure,Agra, Fortune Resort Sullivan Court  ,Bus,29,Unmarried,Round-trip,4,17200,mobile,Debit_card,yes,3,6,4.5
2125,31-12-2022,30,Andhra Pradesh,Tenkasi,IT,Leisure,Ooty, Hotel Shangri La Regency       ,Aeroplane,28,Unmarried,Round-trip,5,12700,travel agent,Debit_card,yes,9,6,7.5
2024,23-01-2023,804,Andhra Pradesh,Kavali,Finance,Leisure,Madurai, Hotel Rawal Kot                ,Bus,61,Married,Round-trip,2,10900,mobile,Credit_card,yes,8,9,8.5
1429,22-11-2020,138,Andhra Pradesh,Hindupur,Government-sector,Leisure,Srinagar, Punnamada Resort               ,Ship,55,Married,one-way,0,8800,mobile,Cash,yes,8,8,8.0
2159,28-04-2021,62,Andhra Pradesh,Jaggayyapeta,IT,Leisure,Coorg, The Himalayan                  ,Ship,27,Married,Multi-city,8,13900,mobile,Cash,yes,8,9,8.5
